docid: 1, startOffset: 7, endOffset: 1057
docid: 2, startOffset: 1058, endOffset: 2164
docid: 3, startOffset: 2165, endOffset: 8875
docid: 4, startOffset: 8876, endOffset: 11057
docid: 5, startOffset: 11058, endOffset: 13010
docid: 7, startOffset: 13011, endOffset: 19238
docid: 8, startOffset: 19239, endOffset: 22887
docid: 9, startOffset: 22888, endOffset: 23539
docid: 10, startOffset: 23540, endOffset: 25398
docid: 11, startOffset: 25399, endOffset: 28501
docid: 12, startOffset: 28502, endOffset: 29781
docid: 13, startOffset: 29782, endOffset: 32104
docid: 14, startOffset: 32105, endOffset: 33239
docid: 15, startOffset: 33240, endOffset: 36741
docid: 16, startOffset: 36742, endOffset: 40875
docid: 17, startOffset: 40876, endOffset: 45225
docid: 18, startOffset: 45226, endOffset: 51535
docid: 19, startOffset: 51536, endOffset: 55312
docid: 20, startOffset: 55313, endOffset: 56046
docid: 21, startOffset: 56047, endOffset: 60345
docid: 22, startOffset: 60346, endOffset: 64448
docid: 23, startOffset: 64449, endOffset: 65007
docid: 24, startOffset: 65008, endOffset: 66028
docid: 25, startOffset: 66029, endOffset: 67634
docid: 26, startOffset: 67635, endOffset: 71311
docid: 27, startOffset: 71312, endOffset: 74922
docid: 28, startOffset: 74923, endOffset: 79748
docid: 29, startOffset: 79749, endOffset: 82468
docid: 30, startOffset: 82469, endOffset: 84569
docid: 31, startOffset: 84570, endOffset: 87722
docid: 32, startOffset: 87723, endOffset: 88546
docid: 33, startOffset: 88547, endOffset: 95750
docid: 34, startOffset: 95751, endOffset: 96719
docid: 35, startOffset: 96720, endOffset: 99889
docid: 36, startOffset: 99890, endOffset: 102296
docid: 37, startOffset: 102297, endOffset: 104992
docid: 38, startOffset: 104993, endOffset: 108420
docid: 39, startOffset: 108421, endOffset: 110992
docid: 40, startOffset: 110993, endOffset: 115085
docid: 41, startOffset: 115086, endOffset: 117149
docid: 42, startOffset: 117150, endOffset: 119033
docid: 43, startOffset: 119034, endOffset: 123491
docid: 44, startOffset: 123492, endOffset: 124936
docid: 45, startOffset: 124937, endOffset: 129383
docid: 46, startOffset: 129384, endOffset: 133287
docid: 47, startOffset: 133288, endOffset: 138990
docid: 48, startOffset: 138991, endOffset: 145677
docid: 49, startOffset: 145678, endOffset: 150230
docid: 50, startOffset: 150231, endOffset: 152053
docid: 51, startOffset: 152054, endOffset: 153345
docid: 52, startOffset: 153346, endOffset: 156216
docid: 53, startOffset: 156217, endOffset: 162682
docid: 54, startOffset: 162683, endOffset: 165243
docid: 55, startOffset: 165244, endOffset: 168713
docid: 56, startOffset: 168714, endOffset: 171448
docid: 57, startOffset: 171449, endOffset: 173747
docid: 58, startOffset: 173748, endOffset: 184269
docid: 59, startOffset: 184270, endOffset: 185055
docid: 60, startOffset: 185056, endOffset: 194193
docid: 62, startOffset: 194194, endOffset: 196420
docid: 63, startOffset: 196421, endOffset: 198963
docid: 64, startOffset: 198964, endOffset: 201376
docid: 65, startOffset: 201377, endOffset: 203768
docid: 66, startOffset: 203769, endOffset: 205137
docid: 67, startOffset: 205138, endOffset: 206295
docid: 68, startOffset: 206296, endOffset: 209263
docid: 69, startOffset: 209264, endOffset: 219457
docid: 70, startOffset: 219458, endOffset: 220756
docid: 71, startOffset: 220757, endOffset: 224747
docid: 72, startOffset: 224748, endOffset: 225894
docid: 73, startOffset: 225895, endOffset: 226373
docid: 74, startOffset: 226374, endOffset: 237191
docid: 75, startOffset: 237192, endOffset: 239049
docid: 76, startOffset: 239050, endOffset: 242435
docid: 77, startOffset: 242436, endOffset: 245800
docid: 78, startOffset: 245801, endOffset: 249405
docid: 79, startOffset: 249406, endOffset: 259120
docid: 80, startOffset: 259121, endOffset: 261327
docid: 81, startOffset: 261328, endOffset: 262461
docid: 82, startOffset: 262462, endOffset: 263264
docid: 83, startOffset: 263265, endOffset: 264341
docid: 84, startOffset: 264342, endOffset: 266196
docid: 85, startOffset: 266197, endOffset: 274740
docid: 86, startOffset: 274741, endOffset: 278218
docid: 87, startOffset: 278219, endOffset: 284586
docid: 88, startOffset: 284587, endOffset: 289423
docid: 89, startOffset: 289424, endOffset: 295056
docid: 90, startOffset: 295057, endOffset: 296785
docid: 91, startOffset: 296786, endOffset: 302168
docid: 92, startOffset: 302169, endOffset: 303882
docid: 93, startOffset: 303883, endOffset: 305615
docid: 94, startOffset: 305616, endOffset: 312440
docid: 95, startOffset: 312441, endOffset: 315247
docid: 96, startOffset: 315248, endOffset: 316766
docid: 97, startOffset: 316767, endOffset: 318855
docid: 98, startOffset: 318856, endOffset: 321458
docid: 99, startOffset: 321459, endOffset: 324058
docid: 100, startOffset: 324059, endOffset: 327862
