docid: 1, startOffset: 7, endOffset: 1057
docid: 2, startOffset: 1058, endOffset: 2164
docid: 3, startOffset: 2165, endOffset: 8875
docid: 4, startOffset: 8876, endOffset: 11057
docid: 5, startOffset: 11058, endOffset: 13010
docid: 6, startOffset: 13011, endOffset: 19721
docid: 7, startOffset: 19722, endOffset: 25949
docid: 8, startOffset: 25950, endOffset: 29598
docid: 9, startOffset: 29599, endOffset: 30250
docid: 10, startOffset: 30251, endOffset: 32109
docid: 11, startOffset: 32110, endOffset: 35212
docid: 12, startOffset: 35213, endOffset: 36492
docid: 13, startOffset: 36493, endOffset: 38815
docid: 14, startOffset: 38816, endOffset: 39950
docid: 15, startOffset: 39951, endOffset: 43452
docid: 16, startOffset: 43453, endOffset: 47586
docid: 17, startOffset: 47587, endOffset: 51936
docid: 18, startOffset: 51937, endOffset: 58246
docid: 19, startOffset: 58247, endOffset: 62023
docid: 20, startOffset: 62024, endOffset: 62757
docid: 21, startOffset: 62758, endOffset: 67056
docid: 22, startOffset: 67057, endOffset: 71159
docid: 23, startOffset: 71160, endOffset: 71718
docid: 24, startOffset: 71719, endOffset: 72739
docid: 25, startOffset: 72740, endOffset: 74345
docid: 26, startOffset: 74346, endOffset: 78022
docid: 27, startOffset: 78023, endOffset: 81633
docid: 28, startOffset: 81634, endOffset: 86459
docid: 29, startOffset: 86460, endOffset: 89179
docid: 30, startOffset: 89180, endOffset: 91280
docid: 31, startOffset: 91281, endOffset: 94433
docid: 32, startOffset: 94434, endOffset: 95257
docid: 33, startOffset: 95258, endOffset: 102461
docid: 34, startOffset: 102462, endOffset: 103430
docid: 35, startOffset: 103431, endOffset: 106600
docid: 36, startOffset: 106601, endOffset: 109007
docid: 37, startOffset: 109008, endOffset: 111703
docid: 38, startOffset: 111704, endOffset: 115131
docid: 39, startOffset: 115132, endOffset: 117703
docid: 40, startOffset: 117704, endOffset: 121796
docid: 41, startOffset: 121797, endOffset: 123860
docid: 42, startOffset: 123861, endOffset: 125744
docid: 43, startOffset: 125745, endOffset: 130202
docid: 44, startOffset: 130203, endOffset: 131647
docid: 45, startOffset: 131648, endOffset: 136094
docid: 46, startOffset: 136095, endOffset: 139998
docid: 47, startOffset: 139999, endOffset: 145701
docid: 48, startOffset: 145702, endOffset: 152388
docid: 49, startOffset: 152389, endOffset: 156941
docid: 50, startOffset: 156942, endOffset: 158764
docid: 51, startOffset: 158765, endOffset: 160056
docid: 52, startOffset: 160057, endOffset: 162927
docid: 53, startOffset: 162928, endOffset: 169393
docid: 54, startOffset: 169394, endOffset: 171954
docid: 55, startOffset: 171955, endOffset: 175424
docid: 56, startOffset: 175425, endOffset: 178159
docid: 57, startOffset: 178160, endOffset: 180458
docid: 58, startOffset: 180459, endOffset: 190980
docid: 59, startOffset: 190981, endOffset: 191766
docid: 60, startOffset: 191767, endOffset: 200904
docid: 61, startOffset: 200905, endOffset: 207740
docid: 62, startOffset: 207741, endOffset: 209967
docid: 63, startOffset: 209968, endOffset: 212510
docid: 64, startOffset: 212511, endOffset: 214923
docid: 65, startOffset: 214924, endOffset: 217315
docid: 66, startOffset: 217316, endOffset: 218684
docid: 67, startOffset: 218685, endOffset: 219842
docid: 68, startOffset: 219843, endOffset: 222810
docid: 69, startOffset: 222811, endOffset: 233004
docid: 70, startOffset: 233005, endOffset: 234303
docid: 71, startOffset: 234304, endOffset: 238294
docid: 72, startOffset: 238295, endOffset: 239441
docid: 73, startOffset: 239442, endOffset: 239920
docid: 74, startOffset: 239921, endOffset: 250738
docid: 75, startOffset: 250739, endOffset: 252596
docid: 76, startOffset: 252597, endOffset: 255982
docid: 77, startOffset: 255983, endOffset: 259347
docid: 78, startOffset: 259348, endOffset: 262952
docid: 79, startOffset: 262953, endOffset: 272667
docid: 80, startOffset: 272668, endOffset: 274874
docid: 81, startOffset: 274875, endOffset: 276008
docid: 82, startOffset: 276009, endOffset: 276811
docid: 83, startOffset: 276812, endOffset: 277888
docid: 84, startOffset: 277889, endOffset: 279743
docid: 85, startOffset: 279744, endOffset: 288287
docid: 86, startOffset: 288288, endOffset: 291765
docid: 87, startOffset: 291766, endOffset: 298133
docid: 88, startOffset: 298134, endOffset: 302970
docid: 89, startOffset: 302971, endOffset: 308603
docid: 90, startOffset: 308604, endOffset: 310332
docid: 91, startOffset: 310333, endOffset: 315715
docid: 92, startOffset: 315716, endOffset: 317429
docid: 93, startOffset: 317430, endOffset: 319162
docid: 94, startOffset: 319163, endOffset: 325987
docid: 95, startOffset: 325988, endOffset: 328794
docid: 96, startOffset: 328795, endOffset: 330313
docid: 97, startOffset: 330314, endOffset: 332402
docid: 98, startOffset: 332403, endOffset: 335005
docid: 99, startOffset: 335006, endOffset: 337605
docid: 100, startOffset: 337606, endOffset: 341409
